id,item,building_one_area,building_two_area,building_three_area
3021,BM112,IRM,NULL,NULL
3020,BM113,IRM,NULL,NULL
3019,BM114,IRM,NULL,NULL
3018,BM115,IRM,NULL,NULL
3017,EB014,"IRM POLYMER",NULL,NULL
3016,EB026,"IRM POLYMER",NULL,NULL
3015,EC071,"IRM POLYMER",NULL,NULL
3014,EC140,"IRM POLYMER",NULL,NULL
3976,ED031,"IRM POLYMER",NULL,NULL
3860,PM116,"IRM POLYMER",NULL,NULL
3013,RF087,IRM,NULL,NULL
3023,RH012,"IRM CARBON",NULL,NULL
3854,RH090,"IRM CARBON",NULL,NULL
3012,RH351,"IRM CARBON",NULL,NULL
3011,RM017,IRM,NULL,NULL
3010,RN317,IRM,NULL,NULL
3009,RP078,IRM,NULL,NULL
3008,RS300,"HOT ROOM",NULL,NULL
3126,TA091,"HOT ROOM",NULL,NULL
3007,TA091,TA091,NULL,NULL
3006,TB046,"IRM POLYMER",NULL,NULL
3005,TE015,"IRM POLYMER",NULL,NULL
3143,TS027,"IRM POLYMER",NULL,NULL
3004,WE015,IRM,NULL,NULL
3003,WF012,IRM,NULL,NULL
3002,WF025,IRM,NULL,NULL
3001,WF057,IRM,NULL,NULL
3000,WF213,IRM,NULL,NULL
2999,WF239,IRM,NULL,NULL
2998,WH011,"IRM CARBON",NULL,NULL
2997,WH053,"IRM CARBON",NULL,NULL
2996,WL013,IRM,NULL,NULL
2995,WL022,ZINC,NULL,NULL
2994,WM026,IRM,NULL,NULL
2993,WM422,IRM,NULL,NULL
2992,WN031,IRM,NULL,NULL
2991,WN043,IRM,NULL,NULL
2990,WN375,IRM,NULL,NULL
2989,WS019,WS019,NULL,NULL
